,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
526,2020-11-22,221585.75245511776,219116.07090612216,221358.03989082857,220949.35556029843,222247.2699392587,-1342.187416715159,-1342.187416715159,-1342.187416715159,-1342.187416715159,-1342.187416715159,-1342.187416715159,0.0,0.0,0.0,220243.5650384026
527,2020-11-23,221615.20194314327,219339.53402857698,221659.38293582675,220960.88277732945,222282.81308807948,-1094.1930162697333,-1094.1930162697333,-1094.1930162697333,-1094.1930162697333,-1094.1930162697333,-1094.1930162697333,0.0,0.0,0.0,220521.00892687353
528,2020-11-24,221644.65143116884,219650.29120990835,221934.6956426668,220972.40999436055,222318.45048936267,-851.4305642182889,-851.4305642182889,-851.4305642182889,-851.4305642182889,-851.4305642182889,-851.4305642182889,0.0,0.0,0.0,220793.22086695055
529,2020-11-25,221674.1009191944,219922.72341045248,222242.82187285076,220984.08162924997,222353.93243380063,-621.7615733596122,-621.7615733596122,-621.7615733596122,-621.7615733596122,-621.7615733596122,-621.7615733596122,0.0,0.0,0.0,221052.3393458348
530,2020-11-26,221703.55040721994,220196.3540139964,222470.09876684615,221003.55791209635,222389.2320924553,-412.71683727913336,-412.71683727913336,-412.71683727913336,-412.71683727913336,-412.71683727913336,-412.71683727913336,0.0,0.0,0.0,221290.83356994082
531,2020-11-27,221732.9998952455,220295.26973279516,222648.50098692928,221027.9126075096,222424.29680192602,-231.2641688306913,-231.2641688306913,-231.2641688306913,-231.2641688306913,-231.2641688306913,-231.2641688306913,0.0,0.0,0.0,221501.7357264148
532,2020-11-28,221762.449383271,220382.38128060443,222794.78922519332,221053.143290301,222457.3430042201,-83.59020322539466,-83.59020322539466,-83.59020322539466,-83.59020322539466,-83.59020322539466,-83.59020322539466,0.0,0.0,0.0,221678.8591800456
533,2020-11-29,221791.89887129652,220711.3118464479,223052.59708641688,221078.43112953394,222494.9756699624,25.09702823643234,25.09702823643234,25.09702823643234,25.09702823643234,25.09702823643234,25.09702823643234,0.0,0.0,0.0,221816.99589953295
534,2020-11-30,221821.3483593221,220766.40279337356,223091.7360120938,221103.7688379624,222529.38795285125,90.73859385642649,90.73859385642649,90.73859385642649,90.73859385642649,90.73859385642649,90.73859385642649,0.0,0.0,0.0,221912.0869531785
535,2020-12-01,221850.79784734765,220738.03383626402,223033.59416834556,221129.233748372,222562.58296938534,110.56280229958698,110.56280229958698,110.56280229958698,110.56280229958698,110.56280229958698,110.56280229958698,0.0,0.0,0.0,221961.36064964725
536,2020-12-02,221880.2473353732,220750.93036751743,223098.51287828188,221154.69865878165,222597.16296122895,83.18646882201354,83.18646882201354,83.18646882201354,83.18646882201354,83.18646882201354,83.18646882201354,0.0,0.0,0.0,221963.4338041952
537,2020-12-03,221909.6968233987,220710.29136400338,223088.02007908528,221180.16356919138,222630.89406286753,8.67583619420925,8.67583619420925,8.67583619420925,8.67583619420925,8.67583619420925,8.67583619420925,0.0,0.0,0.0,221918.37265959292
538,2020-12-04,221939.14631142424,220596.50589952723,222985.48831310682,221205.62847960103,222665.93435587388,-111.43515738569855,-111.43515738569855,-111.43515738569855,-111.43515738569855,-111.43515738569855,-111.43515738569855,0.0,0.0,0.0,221827.71115403852
539,2020-12-05,221968.59579944983,220430.64684222982,222912.0436380252,221231.09339001068,222700.97464888025,-274.17032714734717,-274.17032714734717,-274.17032714734717,-274.17032714734717,-274.17032714734717,-274.17032714734717,0.0,0.0,0.0,221694.42547230248
540,2020-12-06,221998.04528747537,220313.3319312166,222685.5081200094,221256.5583004203,222736.01494188653,-475.1801824425098,-475.1801824425098,-475.1801824425098,-475.1801824425098,-475.1801824425098,-475.1801824425098,0.0,0.0,0.0,221522.86510503286
541,2020-12-07,222027.49477550088,220038.59487951026,222549.56660940073,221282.02321082997,222770.6723904917,-708.8528386168447,-708.8528386168447,-708.8528386168447,-708.8528386168447,-708.8528386168447,-708.8528386168447,0.0,0.0,0.0,221318.64193688403
542,2020-12-08,222056.94426352638,219847.52381979447,222288.58415341275,221307.4881212397,222799.5093857547,-968.4641150086861,-968.4641150086861,-968.4641150086861,-968.4641150086861,-968.4641150086861,-968.4641150086861,0.0,0.0,0.0,221088.4801485177
543,2020-12-09,222086.393751552,219618.44510261502,222025.00759399464,221332.95303164932,222830.54556766726,-1246.3628385661702,-1246.3628385661702,-1246.3628385661702,-1246.3628385661702,-1246.3628385661702,-1246.3628385661702,0.0,0.0,0.0,220840.03091298585
544,2020-12-10,222115.84323957752,219456.38766193297,221744.74307555996,221358.41794205896,222863.85510220294,-1534.186282196949,-1534.186282196949,-1534.186282196949,-1534.186282196949,-1534.186282196949,-1534.186282196949,0.0,0.0,0.0,220581.65695738056
545,2020-12-11,222145.29272760305,219075.55755609722,221491.10240016654,221383.8828524686,222897.1646367386,-1823.0997148315291,-1823.0997148315291,-1823.0997148315291,-1823.0997148315291,-1823.0997148315291,-1823.0997148315291,0.0,0.0,0.0,220322.19301277152
546,2020-12-12,222174.74221562856,218783.3390701666,221237.0132862743,221409.05857100172,222930.47417127425,-2104.0532557313268,-2104.0532557313268,-2104.0532557313268,-2104.0532557313268,-2104.0532557313268,-2104.0532557313268,0.0,0.0,0.0,220070.68895989723
547,2020-12-13,222204.19170365419,218628.83389495255,221090.76567414755,221420.02106795055,222963.78370580997,-2368.048633761849,-2368.048633761849,-2368.048633761849,-2368.048633761849,-2368.048633761849,-2368.048633761849,0.0,0.0,0.0,219836.14306989234
548,2020-12-14,222233.6411916797,218412.81395667285,220892.74767993542,221443.73221734934,222997.09324034562,-2606.4080722432423,-2606.4080722432423,-2606.4080722432423,-2606.4080722432423,-2606.4080722432423,-2606.4080722432423,0.0,0.0,0.0,219627.23311943645
